,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,geometry
1318120,12/18/2016,03:00:00,ROBBERY,POINT (-73.916134394 40.833936652)
1318128,12/18/2016,02:35:00,ROBBERY,POINT (-73.98661056100001 40.57490191)
1318144,12/18/2016,02:15:00,ROBBERY,POINT (-73.814100024 40.693341105)
1318148,12/18/2016,02:03:00,ROBBERY,POINT (-73.904346644 40.821238653)
1318200,12/18/2016,01:05:00,ROBBERY,POINT (-73.905610076 40.704857053)
1318442,12/17/2016,03:50:00,ROBBERY,POINT (-73.916616065 40.810033244)
1319249,12/17/2016,01:40:00,ROBBERY,POINT (-73.920307802 40.864468978)
1319262,12/17/2016,01:15:00,ROBBERY,POINT (-73.99982505 40.576124128)
1319272,12/17/2016,01:00:00,ROBBERY,POINT (-73.879583989 40.67690745199999)
1319273,12/17/2016,01:00:00,ROBBERY,POINT (-73.91482725899999 40.700453401)
1319477,12/16/2016,02:20:00,ROBBERY,POINT (-73.91922722300001 40.807567595)
1320261,12/16/2016,03:40:00,ROBBERY,POINT (-73.951720698 40.671723302)
1320268,12/16/2016,03:00:00,ROBBERY,POINT (-73.92068391700001 40.658234712)
1320313,12/16/2016,01:14:00,ROBBERY,POINT (-73.894289028 40.647717427)
1321368,12/15/2016,02:00:00,ROBBERY,POINT (-73.925778983 40.67557139199999)
1322656,12/14/2016,03:20:00,ROBBERY,POINT (-73.91988022699999 40.835256777)
1322671,12/14/2016,02:45:00,ROBBERY,POINT (-73.89621415800001 40.816326803)
1322715,12/14/2016,01:00:00,ROBBERY,POINT (-73.80413550899999 40.676446932)
1323030,12/11/2016,03:00:00,ROBBERY,POINT (-73.91097112 40.855001166)
1324045,12/13/2016,03:45:00,ROBBERY,POINT (-73.74521240000001 40.716989959)
1324051,12/13/2016,03:20:00,ROBBERY,POINT (-73.943346267 40.807760378)
1324052,12/13/2016,03:20:00,ROBBERY,POINT (-73.867756466 40.676320808)
1324054,12/13/2016,03:15:00,ROBBERY,POINT (-73.898458574 40.659460625)
1324059,12/13/2016,03:00:00,ROBBERY,POINT (-73.87138034600001 40.767569027)
1324063,12/13/2016,02:50:00,ROBBERY,POINT (-73.842860223 40.680439605)
1324092,12/13/2016,01:35:00,ROBBERY,POINT (-73.80694816100001 40.707374336)
1325276,12/12/2016,03:10:00,ROBBERY,POINT (-73.91976936899999 40.810312698)
1325302,12/12/2016,02:00:00,ROBBERY,POINT (-73.936136211 40.679670066)
1325305,12/12/2016,01:40:00,ROBBERY,POINT (-73.90158306100001 40.823423869)
1325308,12/12/2016,01:30:00,ROBBERY,POINT (-73.919017282 40.807918773)
1325312,12/12/2016,01:20:00,ROBBERY,POINT (-73.91414357399999 40.69925343)
1326546,12/11/2016,02:30:00,ROBBERY,POINT (-73.96707744300001 40.752531784)
1326553,12/11/2016,02:27:00,ROBBERY,POINT (-73.896605923 40.838559364)
1326564,12/11/2016,02:00:00,ROBBERY,POINT (-73.974282203 40.685520302)
1326575,12/11/2016,01:59:00,ROBBERY,POINT (-73.90115850699999 40.746804216)
1326619,12/11/2016,01:00:00,ROBBERY,POINT (-73.84327482499999 40.789371383)
1327638,12/10/2016,03:55:00,ROBBERY,POINT (-73.89945142399999 40.698999993)
1327641,12/10/2016,03:50:00,ROBBERY,POINT (-73.92042168399999 40.772317821)
1327664,12/10/2016,03:15:00,ROBBERY,POINT (-73.91815975999999 40.814939171)
1327701,12/10/2016,02:30:00,ROBBERY,POINT (-73.929907652 40.77086927)
1327718,12/10/2016,02:00:00,ROBBERY,POINT (-74.00668865199999 40.636539639)
1327741,12/10/2016,01:40:00,ROBBERY,POINT (-74.013748416 40.643535473)
1327778,12/10/2016,01:00:00,ROBBERY,POINT (-73.75196052 40.60295589)
1328870,12/09/2016,02:00:00,ROBBERY,POINT (-73.955942951 40.719500439)
1328903,12/09/2016,01:00:00,ROBBERY,POINT (-73.94863966699999 40.642103028)
1330150,12/08/2016,03:00:00,ROBBERY,POINT (-73.86287879 40.692039918)
1330152,12/08/2016,03:00:00,ROBBERY,POINT (-73.86747432999999 40.742104304)
1330164,12/08/2016,02:25:00,ROBBERY,POINT (-74.07601410699999 40.636256697)
1330177,12/08/2016,02:00:00,ROBBERY,POINT (-73.90851844399999 40.861567319)
1330548,12/05/2016,03:40:00,ROBBERY,POINT (-73.880803906 40.674131008)
1330550,12/05/2016,02:00:00,ROBBERY,POINT (-73.872205671 40.753242365)
1331572,12/07/2016,03:40:00,ROBBERY,POINT (-73.951952013 40.645870305)
1331573,12/07/2016,03:40:00,ROBBERY,POINT (-73.86345361399999 40.747671457)
1331579,12/07/2016,03:05:00,ROBBERY,POINT (-73.875292672 40.739203595)
1331585,12/07/2016,02:50:00,ROBBERY,POINT (-73.79363689600001 40.713828901)
1331587,12/07/2016,02:50:00,ROBBERY,POINT (-73.77693008 40.676647179)
1331601,12/07/2016,02:03:00,ROBBERY,POINT (-73.891912412 40.826802192)
1331622,12/07/2016,01:00:00,ROBBERY,POINT (-74.00721408 40.630863385)
1332888,12/06/2016,02:30:00,ROBBERY,POINT (-73.92627517300001 40.80721824800001)
1332894,12/06/2016,02:15:00,ROBBERY,POINT (-73.938496693 40.844976246)
1333145,12/05/2016,01:30:00,ROBBERY,POINT (-74.13567663399999 40.634620776)
1334141,12/05/2016,03:30:00,ROBBERY,POINT (-74.138237831 40.636127361)
1334150,12/05/2016,03:15:00,ROBBERY,POINT (-73.876480843 40.748424502)
1334182,12/05/2016,01:20:00,ROBBERY,POINT (-74.136724493 40.636090744)
1335401,12/04/2016,03:30:00,ROBBERY,POINT (-73.874734479 40.682935294)
1335424,12/04/2016,03:00:00,ROBBERY,POINT (-73.891126766 40.845418843)
1335447,12/04/2016,02:25:00,ROBBERY,POINT (-73.83296252300001 40.754199468)
1335457,12/04/2016,02:10:00,ROBBERY,POINT (-73.979215352 40.729895901)
1335738,12/03/2016,02:30:00,ROBBERY,POINT (-73.946718878 40.800321033)
1336573,12/03/2016,03:50:00,ROBBERY,POINT (-73.888182532 40.739192128)
1336588,12/03/2016,03:20:00,ROBBERY,POINT (-73.899312064 40.695758298)
1336619,12/03/2016,02:55:00,ROBBERY,POINT (-73.949095931 40.686395734)
1336627,12/03/2016,02:35:00,ROBBERY,POINT (-73.90389394899999 40.862005457)
1336658,12/03/2016,02:00:00,ROBBERY,POINT (-73.885164054 40.63549437)
1336690,12/03/2016,01:25:00,ROBBERY,POINT (-73.998254809 40.604617888)
1336695,12/03/2016,01:20:00,ROBBERY,POINT (-73.95200411 40.788861361)
1336707,12/03/2016,01:00:00,ROBBERY,POINT (-73.93873303399999 40.686464792)
1337867,12/02/2016,02:50:00,ROBBERY,POINT (-73.989865067 40.76224420699999)
1337921,12/02/2016,01:00:00,ROBBERY,POINT (-73.863941873 40.881466338)
1338204,12/01/2016,03:20:00,ROBBERY,POINT (-74.00227488100001 40.740105494)
1338206,12/01/2016,02:06:00,ROBBERY,POINT (-73.977189616 40.755676965)
1339255,12/01/2016,03:50:00,ROBBERY,POINT (-73.98736043300001 40.721116603)
1339271,12/01/2016,03:00:00,ROBBERY,POINT (-73.84636964000001 40.877041796)
1339299,12/01/2016,01:50:00,ROBBERY,POINT (-74.009666595 40.649277978)
1339304,12/01/2016,01:35:00,ROBBERY,POINT (-73.95942297100001 40.685957931)
